Trial #,tau_boost,z_offset,amp_push,push_ratio,swing_time,Distance (cm),Score
1,12.129553205232273,0.22854127785604778,0.6763539420107447,0.7876601240619092,1.2366784001488962,127.0,-127.0
2,12.800277619120793,0.22327731181270574,0.6318777188090441,0.5559803050521538,1.1015263349918054,168.0,-168.0
3,11.273170093376168,0.19724526801386236,0.497903710781568,0.7779020708741077,1.3908535995110358,111.0,-111.0
4,11.317920176870505,0.23207715341922294,0.43349059382543376,0.7849320725555051,1.1417952362567294,131.0,-131.0
5,7.9778049774044595,0.24762543303770276,0.6961185562939153,0.6430915675236087,1.1258149220380065,246.0,-246.0
6,5.0,0.29502957573257516,0.4,0.6544741498013701,0.7126386676752565,120.0,-120.0
7,8.787923299814956,0.24711080935887064,0.7187269440546558,0.6429929469446384,1.2081816719898997,265.0,-265.0
8,7.329713746106648,0.268103393043808,0.6923882131890036,0.6429827808256013,1.2166661406866068,243.0,-243.0
9,11.370010830535422,0.32807145693765033,0.7331774134222622,0.6429487489303201,1.5266034186432198,257.0,-257.0
10,10.918684179676223,0.23034106238661275,0.7396014083447674,0.6428659921138881,1.4124907272672211,181.0,-181.0
11,8.949688034128352,0.28166096696409965,0.8,0.5988891322847003,1.3213150123738748,282.0,-282.0
12,9.11235321352885,0.30948084257232167,0.8,0.5653472653792326,1.5101157257746316,306.0,-306.0
13,9.349763232424785,0.35281251664511193,0.8,0.5105257459370623,1.839203007713235,354.0,-354.0
14,9.433960712148039,0.3701469831855002,0.7059707108607366,0.5,1.9718157404980878,354.0,-354.0
15,9.53636728867948,0.4,0.8,0.5,2.0,380.0,-380.0
16,9.492915530183772,0.4,0.8,0.5,2.0,381.0,-381.0
17,9.359720539801057,0.4,0.8,0.5,2.0,383.0,-383.0
18,9.255012258264806,0.4,0.8,0.5,2.0,306.0,-306.0
19,10.378243105713992,0.4,0.8,0.5,0.5,223.0,-223.0
20,10.43055339002308,0.4,0.8,0.5,2.0,325.0,-325.0
21,8.866529602574506,0.4,0.8,0.7633120962238968,2.0,167.0,-167.0
22,7.89466524979367,0.4,0.6447554795795778,0.5,2.0,351.0,-351.0
23,7.982893034451244,0.205768321625118,0.8,0.5,2.0,252.0,-252.0
24,8.615845640064471,0.4,0.4,0.5,1.6219892197924137,201.0,-201.0
25,5.041921100075603,0.4,0.8,0.5,2.0,359.0,-359.0
26,5.0,0.4,0.8,0.5,2.0,359.0,-359.0
27,5.0,0.4,0.8,0.5,1.699010648146918,243.0,-243.0
28,6.078867386966422,0.3441659280153686,0.8,0.5224350347304919,2.0,370.0,-370.0
29,8.639943976347558,0.33845360947591707,0.8,0.5,2.0,359.0,-359.0
30,5.0,0.36057264971319725,0.8,0.5433986499660297,2.0,329.0,-329.0
31,15.0,0.31811028619756276,0.43750447061436765,0.5,2.0,Failed,1000.0
32,5.605504898316994,0.4,0.8,0.9,2.0,218.0,-218.0
33,9.766533572932751,0.4,0.6422503106210236,0.5,1.2328488851176191,252.0,-252.0
34,5.0,0.1,0.8,0.5,0.5,114.0,-114.0
35,11.94731207739386,0.1,0.8,0.5,0.5,Failed,1000.0
36,10.005613979735555,0.3430069873156341,0.8,0.5,2.0,287.0,-287.0
37,12.349551366935437,0.4,0.8,0.5,1.0180358323644714,269.0,-269.0
38,5.0,0.11468348217263144,0.8,0.5,1.4061125929202096,173.0,-173.0
39,6.737872942605205,0.3365540932605869,0.8,0.5,2.0,375.0,-375.0
40,6.789957053039791,0.33633918112436745,0.8,0.5,2.0,385.0,-385.0
41,6.8689904206487,0.3289013917332103,0.8,0.5,2.0,383.0,-383.0
42,6.890809873345637,0.3286495170342709,0.8,0.5,2.0,381.0,-381.0
43,6.804255942805852,0.333968244592872,0.4,0.5,2.0,120.0,-120.0
44,5.0,0.4,0.8,0.5,0.5,Failed,1000.0
45,5.0,0.1588464694066174,0.4,0.5,0.8596214667768189,131.0,-131.0
46,10.774251665073656,0.30705050897282726,0.6655139244815174,0.5,1.1275025562420051,225.0,-225.0
47,12.65079573327225,0.4,0.6444238701025797,0.5,0.5,187.0,-187.0
48,6.682438758645817,0.3615460099162978,0.8,0.5,2.0,392.0,-392.0
49,6.531265465514543,0.38151828202409277,0.8,0.5,2.0,399.0,-399.0
50,6.452824923406641,0.3991944358148738,0.8,0.5,2.0,395.0,-395.0
