Trial #,tau_boost,z_offset,amp_push,push_ratio,swing_time,Distance (cm),Score
1,12.129553205232273,0.22854127785604778,0.6763539420107447,0.7876601240619092,1.2366784001488962,128.0,-128.0
2,12.800277619120793,0.22327731181270574,0.6318777188090441,0.5559803050521538,1.1015263349918054,169.0,-169.0
3,11.273170093376168,0.19724526801386236,0.497903710781568,0.7779020708741077,1.3908535995110358,107.0,-107.0
4,11.317920176870505,0.23207715341922294,0.43349059382543376,0.7849320725555051,1.1417952362567294,137.0,-137.0
5,7.9778049774044595,0.24762543303770276,0.6961185562939153,0.6430915675236087,1.1258149220380065,255.0,-255.0
6,9.661765557410902,0.3115175331847073,0.713077079412285,0.6472141740749039,0.8045303788340733,263.0,-263.0
7,12.559460059974365,0.1000579054755013,0.5111331080504475,0.6698793509865786,0.834102656359669,116.0,-116.0
8,9.336448188955064,0.308139524791913,0.7028872350370272,0.6477245479853486,0.8231638051616218,262.0,-262.0
9,11.576211420147903,0.32126363640202704,0.7568894790742449,0.6448359615069977,0.7642948748608089,321.0,-321.0
10,12.071650699840731,0.31702693724967945,0.7906318963780309,0.6387896600200812,0.8032173076789766,328.0,-328.0
11,12.13146524937245,0.31845111414297167,0.798783628024879,0.6348911679949789,0.7954780150220994,361.0,-361.0
12,5.0,0.394344419221043,0.8,0.5973505251458245,0.5,125.0,-125.0
13,13.658914265393578,0.35110005129071853,0.743109517640878,0.6323018792710039,0.9129496511587125,374.0,-374.0
14,15.0,0.38034386260928754,0.7872745887453919,0.6317706340251822,0.8345518076204512,355.0,-355.0
15,14.037892062564785,0.2863220805473545,0.40098324921750345,0.6283087420568949,1.7833212530830975,64.0,-64.0
16,13.55338032292565,0.3541934935471165,0.8,0.6501349231447247,0.8126408303194981,375.0,-375.0
17,13.607318801956534,0.3530979375072326,0.8,0.5777779573152174,0.817529620036951,358.0,-358.0
18,13.368379115158824,0.37174548033455057,0.8,0.8406949269349235,0.8840598469686243,188.0,-188.0
19,13.586558098900586,0.3557928187458197,0.8,0.628213227897064,0.8128140596061141,372.0,-372.0
20,13.616338315097169,0.35444243144474297,0.8,0.6286070626296544,0.8138482101470481,398.0,-398.0
21,14.118291723379732,0.34841628035353633,0.7827465865211318,0.6255538497829427,0.5926093782914272,327.0,-327.0
22,12.899364783964383,0.3965289323141824,0.8,0.6223891027586124,0.8724759549924159,370.0,-370.0
23,5.0,0.4,0.5790108869834577,0.5,1.668038003445133,286.0,-286.0
24,5.0,0.4,0.6915546314527345,0.9,2.0,225.0,-225.0
25,5.0,0.1,0.7305870894629543,0.5,2.0,196.0,-196.0
26,11.24004232996733,0.4,0.8,0.553557085430645,1.0639726278210107,315.0,-315.0
27,5.0,0.1,0.6223063733913481,0.9,2.0,90.0,-90.0
28,5.0,0.4,0.6578024425353233,0.6742963799334035,1.4356912376714104,175.0,-175.0
29,5.0,0.1,0.6100953230427598,0.5,0.5,178.0,-178.0
30,15.0,0.4,0.4,0.5,0.672857867875094,Failed,1000.0
31,14.51065474762038,0.4,0.8,0.6280193200893909,2.0,177.0,-177.0
32,5.0,0.4,0.8,0.9,0.5,333.0,-333.0
33,5.0,0.1,0.4,0.6204791459822703,2.0,72.0,-72.0
34,5.0,0.4,0.8,0.9,1.540448018376472,173.0,-173.0
35,5.0,0.4,0.4,0.9,0.5,Failed,1000.0
36,5.0,0.36832248049254523,0.6144217674841281,0.5,2.0,327.0,-327.0
37,15.0,0.3455773758256999,0.7801469603628773,0.5956226192567888,0.9960878267674369,316.0,-316.0
38,15.0,0.4,0.4,0.7732571522187557,2.0,Failed,1000.0
39,12.060765839353852,0.36479497162810437,0.8,0.6337586234796787,0.7688438928711401,320.0,-320.0
40,15.0,0.2340821991584401,0.8,0.5,0.5,210.0,-210.0
41,15.0,0.3242395753178572,0.5895796787941286,0.5,0.5,130.0,-130.0
42,15.0,0.1,0.8,0.5,0.5,Failed,1000.0
43,13.883127024776085,0.38776435902473616,0.7939005683508862,0.5277253629408862,0.5,165.0,-165.0
44,15.0,0.3671706667767438,0.7279138166737342,0.6747989999485611,0.9093564592123426,342.0,-342.0
45,5.0,0.12376719769850944,0.6311346615756511,0.5,2.0,213.0,-213.0
46,13.515510217943048,0.3844328584341282,0.7848778666186453,0.6416257108387347,1.0818726822627027,384.0,-384.0
47,5.0,0.2748228244763972,0.5532619941021102,0.5,2.0,260.0,-260.0
48,11.466925820014932,0.16086989643983224,0.4,0.5,0.5,128.0,-128.0
49,5.0,0.23340389701418723,0.8,0.5,2.0,322.0,-322.0
50,11.086029471295198,0.27639507705082367,0.8,0.5,0.9246995217587084,241.0,-241.0
